ds,y
2024-06-01,114.55
2024-06-02,255.34
2024-06-03,66.11
2024-06-04,93.17
2024-06-05,104.43
2024-06-06,79.92
2024-06-07,67.92999999999999
2024-06-08,127.99000000000001
2024-06-09,99.4
2024-06-10,80.76
2024-06-11,99.72
2024-06-12,58.88
2024-06-13,126.84
2024-06-14,105.48
2024-06-15,90.78999999999999
2024-06-16,104.47
2024-06-17,106.9
2024-06-18,152.24
2024-06-19,119.01
2024-06-20,168.18
2024-06-21,65.98
2024-06-22,112.95
2024-06-23,95.89
2024-06-24,107.85
2024-06-25,121.02
2024-06-26,59.12
2024-06-27,146.26
2024-06-28,130.84
2024-06-29,86.4
2024-06-30,76.61
2024-07-01,111.07000000000001
2024-07-02,74.58
2024-07-03,96.47
2024-07-04,85.16
2024-07-05,153.65
2024-07-06,120.78999999999999
2024-07-07,115.15
2024-07-08,147.38
2024-07-09,105.49
2024-07-10,77.73
2024-07-11,118.95
2024-07-12,159.58
2024-07-13,80.65
2024-07-14,106.33
2024-07-15,72.03999999999999
2024-07-16,85.32
2024-07-17,96.38
2024-07-18,78.24
2024-07-19,55.11
2024-07-20,98.32
2024-07-21,143.12
2024-07-22,117.66
2024-07-23,102.45
2024-07-24,102.6
2024-07-25,122.84
2024-07-26,128.68
2024-07-27,100.5
2024-07-28,122.93
2024-07-29,135.67
2024-07-30,106.96000000000001
2024-07-31,137.43
2024-08-01,84.38
2024-08-02,51.68
2024-08-03,90.85
2024-08-04,195.05
2024-08-05,151.9
2024-08-06,131.29
2024-08-07,105.87
2024-08-08,88.63
2024-08-09,57.67
2024-08-10,125.16
2024-08-11,80.39
2024-08-12,103.37
2024-08-13,66.32
2024-08-14,152.59
2024-08-15,125.22
2024-08-16,47.13
2024-08-17,142.85
2024-08-18,116.56
2024-08-19,144.49
2024-08-20,115.33
2024-08-21,108.23
2024-08-22,81.67999999999999
2024-08-23,124.48
2024-08-24,94.41
2024-08-25,93.47
2024-08-26,106.03
2024-08-27,104.5
2024-08-28,135.88
2024-08-29,98.76
2024-08-30,97.9
2024-08-31,121.39
