ticket_id,date,produit,catégorie,quantité,montant,client_id
T000000,2024-07-22,Chocolat,Snack,3,5.46,C011
T000001,2024-09-12,Bonbons,Snack,2,4.97,C049
T000001,2024-09-12,Fromage,Alimentaire,4,12.33,C049
T000002,2024-03-17,Chips,Snack,2,5.75,C040
T000003,2024-09-11,Bonbons,Snack,4,12.28,C045
T000005,2024-05-30,Chips,Snack,2,3.56,C039
T000005,2024-05-30,Pain,Alimentaire,3,8.11,C039
T000006,2024-08-08,Soda,Boisson,4,7.3,C034
T000006,2024-08-08,Riz,Alimentaire,3,8.86,C034
T000006,2024-08-08,Pain,Alimentaire,3,10.08,C034
T000006,2024-08-08,Chocolat,Snack,1,2.35,C034
T000007,2024-11-11,Pain,Alimentaire,2,4.4,C023
T000008,2024-04-13,Bonbons,Snack,2,5.49,C039
T000008,2024-04-13,Chips,Snack,4,14.14,C039
T000009,2024-05-11,Chocolat,Snack,1,3.23,C004
T000009,2024-05-11,Fromage,Alimentaire,3,16.71,C004
T000010,2024-04-04,Lait,Alimentaire,1,5.56,C027
T000010,2024-04-04,Fromage,Alimentaire,2,5.21,C027
T000010,2024-04-04,Chocolat,Snack,2,5.7,C027
T000011,2024-07-15,Eau,Boisson,4,5.55,C010
T000011,2024-07-15,Chocolat,Snack,1,3.23,C010
T000011,2024-07-15,Fromage,Alimentaire,2,7.74,C010
T000011,2024-07-15,Lait,Alimentaire,2,5.06,C010
T000011,2024-07-15,Bière,Boisson,2,3.4,C010
T000011,2024-07-15,Riz,Alimentaire,3,7.44,C010
T000012,2024-04-12,Riz,Alimentaire,3,14.8,C003
T000012,2024-04-12,Bonbons,Snack,4,8.15,C003
T000012,2024-04-12,Pain,Alimentaire,2,7.39,C003
T000013,2024-05-19,Lait,Alimentaire,3,13.72,C036
T000013,2024-05-19,Fromage,Alimentaire,2,6.16,C036
T000014,2024-03-15,Pâtes,Alimentaire,1,5.9,C016
T000014,2024-03-15,Fromage,Alimentaire,4,23.83,C016
T000015,2024-10-14,Lait,Alimentaire,3,15.87,C032
T000015,2024-10-14,Bonbons,Snack,4,15.85,C032
T000015,2024-10-14,Pain,Alimentaire,4,13.72,C032
T000016,2024-03-08,Pain,Alimentaire,3,16.45,C031
T000016,2024-03-08,Lait,Alimentaire,2,5.78,C031
T000016,2024-03-08,Riz,Alimentaire,1,6.0,C031
T000016,2024-03-08,Fromage,Alimentaire,2,9.2,C031
T000017,2024-09-21,Pâtes,Alimentaire,1,4.39,C004
T000017,2024-09-21,Pain,Alimentaire,2,11.31,C004
T000017,2024-09-21,Lait,Alimentaire,2,5.76,C004
